id,nickname
21266,1eer
21809,910
10330,acor
20878,adamb
21014,ag1l
9816,aleksib
8371,alex
20112,alex666
11139,alistair
23600,alkaren
20417,anlelele
7322,apex
22807,aragornn
20465,arrozdoce
21348,artfr0st
8552,attacker
22076,aw
16555,ax1le
22106,azuwu
23637,b1st
18987,b1t
19235,belchonokk
18141,biguzera
15165,blamef
20194,blitz
8374,bodyy
11840,boombl4
16717,br0
20987,brnz4n
18053,broky
13666,brollan
20607,buda
22904,burmylov
20941,buzz
23100,c4llm3su3
18790,cacanito
7964,cadian
24283,cairne
8575,calyx
22702,cej0t
11219,cerq
20026,chayjesus
10566,chelo
19681,childking
7716,chopper
21983,chr1zn
22674,cmtry
9216,coldzera
21398,controlez
16147,cptkurtka023
17353,cxzi
18571,cypher
20357,d1ledez
18865,dav1deus
19509,dav1g
24282,dawy
20183,decenty
22566,deemo
17306,degster
20584,dem0n
18070,demho
19733,demqq
7592,device
9115,dexter
14736,dgt
19738,djoko
21167,donk
19750,drop
19823,dukefissura
15698,dumau
7398,dupreeh
16080,dycha
23553,dziugss
8918,electronic
8738,elige
22922,emiliaqaq
23643,esenthial
20464,ewjerkz
19739,ex3rcice
11154,exit
19044,f1ku
2023,fallen
20101,fame
14932,faven
17803,fear
9219,felps
12732,fl1t
20994,fl4mus
16693,flamez
23642,flierax
12713,floppy
20018,fr3nd
24806,frontales
9960,frozen
7412,gla1ve
22884,gr1ks
21969,graviti
13578,grim
16848,hades
12840,hallzerk
19592,headtr1ck
20447,heavygod
8565,hen1
18838,hext
23765,hfah
10096,hooxi
22613,huasopeek
3972,hunter
21468,hyped
23766,hypex
21439,icy
14759,im
11140,ins
21037,insani
15071,interz
17956,jabbi
23414,jackasmo
23046,jambo
13776,jame
19645,jamyoung
21665,jba
22383,jcobbb
14929,jdc
20702,jee
18850,jimpphat
8248,jkaem
4679,jks
19206,jl
22361,jottaaa
11630,jt
14494,junior
12781,k1to
18752,kade0
19920,kair0n
429,karrigan
20085,kauez
8950,kaze
17504,kei
22842,kensizor
23317,khan
22203,krabeni
20300,kraghen
20282,krasnal
23140,krazy
19899,krimbo
7528,krimz
10961,kristou
15631,kscerato
22182,ksloks
20482,kursy
21452,kvem
24177,kyousuke
20170,kyuubii
19677,kyxsan
21825,l1hang
22921,lake
21386,lampada
19045,latto
20761,launx
10588,liazz
19310,lnz
18717,lucaozy
20394,luchov
13497,lucky
15914,luken
20563,lux
19230,m0nesy
11777,maden
9032,magisk
18317,magixx
21667,magnojez
150,maj3r
13138,maka
22673,makazze
11617,malbsmd
21239,martinezsa
20897,matios
21062,matys
12092,max
20895,mercury
18462,mezii
8789,mir
21385,mizu
21113,modo
24144,molodoy
9254,mopoz
21621,moseyuh
630,mutiris
21233,myltsi
21001,mzinho
16612,n0rb3r7
19686,n1ssim
8520,naf
16921,nafany
17181,naitte
13670,nawwk
21155,naz
21972,neityu
9436,nertz
18214,nettik
9618,nexa
22366,nicks
13602,nicoodoz
21620,nicx
22643,nifee
3741,niko
20119,nilo
19512,nivera
2161,noktse
22929,nota
22564,noway
21708,npl
19694,nqz
21779,nut-nut
22126,nyezin
18743,nython
24168,onic
18697,oxygen
16314,pancc
22135,peeping
16947,perfecto
16726,phzy
21815,podi
22279,pr
21139,pr1metapz
18979,prism
19284,prosus
13239,qikert
20425,r1nkle
2898,raalz
8183,rain
17145,rainwaker
17378,reck
20123,regali
9278,rez
12708,rigon
5738,rikz
22460,riskyb0b
1154,roman
2241,roman
11816,ropz
6124,ruggah
23413,s-chilla
7998,s1mple
20104,s1n
18506,s1ren
22965,saadzin
18835,saffee
20245,samey
18749,sausol
7821,saw
21575,scr0b
12731,sdy
20903,senzu
16920,sh1ro
11343,shipz
21136,shr
22695,sirah
16820,siuhy
14148,sjuush
18676,skullz
20870,sl3nd
15370,slaxz
922,snappi
2553,snax
20171,snow
8605,somebody
8711,sonic
22325,sowalio
11217,spellan
18221,spinx
19064,spooke
20304,staehr
8507,stanislaw
20254,starry
10994,stavn
8797,stewie2k
20462,story
7028,summer
19164,sunpayus
21163,susp
16599,swisher
7266,syrson
5794,tabsen
20301,tauson
161,taz
20275,techno
12018,teses
11995,tmb
19808,tn1r
24952,to0ro
22570,tomaszin
17008,topa
18072,torzsi
16948,travis
19869,try
10394,twistzz
21763,ultimate
21288,venomzera
17384,vexite
12822,vini
20358,volt
20127,w0nderful
16551,westmelon
21243,wicadia
14390,wood7
8574,woxic
20387,xant3r
7938,xantares
24457,xelex
20312,xertion
19187,xfl0ud
22471,xielo
23372,xkacpersky
13915,yekindar
24190,youka
12553,yuurih
22047,yxngstxr
18744,z4kr
23415,zerrofix
8601,zhoking
20690,zock
20423,zont1x
15662,zorte
16486,ztr
23685,zweih
11893,zywoo
